"Samples ID" "F635 Median - B635" Name spotID
508 689 S1_0.1_T #3-711
508 2796 S1_0.1_S #3-721
508 4237 S1_0.25_S #3-731
508 4199 S1_0.5_S #3-741
508 916 S1_0.1_B #3-751
508 2551 S1_0.25_B #3-761
508 2749 S1_0.5_B #3-771
508 772 S-RBD_0.5_Y #3-781
508 2 S-RBD_0.25_S #3-791
508 599 S-RBD_0.5_S #3-7101
508 176 S2-1_0.05_T #3-7111
508 170 S2-2_0.1_T #3-7121
508 893 N-protein_0.1_T #3-7131
508 1291 N-protein_0.05_K #3-7141
508 1449 N-protein_0.1_K #3-7151
508 1596 N-protein_0.2_K #3-7161
508 20 buffer #3-7171
508 808 N-protein_0.1_W #3-7181
508 895 N-protein_0.25_W #3-7191
508 1740 N-protein_0.5_W #3-7201
508 91 N-protein_0.1_S #3-7211
508 1345 N-protein_0.25_S #3-7221
508 1982 N-protein_0.5_S #3-7231
508 1745 N-Cter_0.1_K #3-7241
508 1722 N-Cter_0.25_K #3-7251
508 1924 N-Cter_0.5_K #3-7261
508 595 N-Nter_0.1_K #3-7271
508 868 N-Nter_0.25_K #3-7281
508 910 N-Nter_0.5_K #3-7291
508 56 NSP2_0.05_K #3-7301
508 172 NSP2_0.1_K #3-7311
508 317 NSP2_0.25_K #3-7321
508 693 S1_0.1_T #3-712
508 3142 S1_0.1_S #3-722
508 4254 S1_0.25_S #3-732
508 4256 S1_0.5_S #3-742
508 907 S1_0.1_B #3-752
508 2567 S1_0.25_B #3-762
508 2623 S1_0.5_B #3-772
508 757 S-RBD_0.5_Y #3-782
508 2 S-RBD_0.25_S #3-792
508 659 S-RBD_0.5_S #3-7102
508 200 S2-1_0.05_T #3-7112
508 200 S2-2_0.1_T #3-7122
508 958 N-protein_0.1_T #3-7132
508 1263 N-protein_0.05_K #3-7142
508 1390 N-protein_0.1_K #3-7152
508 1500 N-protein_0.2_K #3-7162
508 22 buffer #3-7172
508 863 N-protein_0.1_W #3-7182
508 948 N-protein_0.25_W #3-7192
508 1769 N-protein_0.5_W #3-7202
508 99 N-protein_0.1_S #3-7212
508 1345 N-protein_0.25_S #3-7222
508 1648 N-protein_0.5_S #3-7232
508 1683 N-Cter_0.1_K #3-7242
508 1651 N-Cter_0.25_K #3-7252
508 1863 N-Cter_0.5_K #3-7262
508 667 N-Nter_0.1_K #3-7272
508 927 N-Nter_0.25_K #3-7282
508 999 N-Nter_0.5_K #3-7292
508 66 NSP2_0.05_K #3-7302
508 148 NSP2_0.1_K #3-7312
508 274 NSP2_0.25_K #3-7322
508 763 S1_0.1_T #3-713
508 3517 S1_0.1_S #3-723
508 4089 S1_0.25_S #3-733
508 4163 S1_0.5_S #3-743
508 999 S1_0.1_B #3-753
508 2359 S1_0.25_B #3-763
508 2486 S1_0.5_B #3-773
508 966 S-RBD_0.5_Y #3-783
508 0 S-RBD_0.25_S #3-793
