"Samples ID" "F532 Median - B532" Name spotID
529 4600 S1_0.1_T #4-1111
529 13343 S1_0.1_S #4-1121
529 13199 S1_0.25_S #4-1131
529 12448 S1_0.5_S #4-1141
529 8719 S1_0.1_B #4-1151
529 21880 S1_0.25_B #4-1161
529 25249 S1_0.5_B #4-1171
529 7111 S-RBD_0.5_Y #4-1181
529 215 S-RBD_0.25_S #4-1191
529 6440 S-RBD_0.5_S #4-11101
529 239 S2-1_0.05_T #4-11111
529 285 S2-2_0.1_T #4-11121
529 18797 N-protein_0.1_T #4-11131
529 22380 N-protein_0.05_K #4-11141
529 27505 N-protein_0.1_K #4-11151
529 33798 N-protein_0.2_K #4-11161
529 35 buffer #4-11171
529 12803 N-protein_0.1_W #4-11181
529 20231 N-protein_0.25_W #4-11191
529 34554 N-protein_0.5_W #4-11201
529 2609 N-protein_0.1_S #4-11211
529 30613 N-protein_0.25_S #4-11221
529 39384 N-protein_0.5_S #4-11231
529 50910 N-Cter_0.1_K #4-11241
529 46985 N-Cter_0.25_K #4-11251
529 47519 N-Cter_0.5_K #4-11261
529 2064 N-Nter_0.1_K #4-11271
529 2263 N-Nter_0.25_K #4-11281
529 2157 N-Nter_0.5_K #4-11291
529 27 NSP2_0.05_K #4-11301
529 57 NSP2_0.1_K #4-11311
529 101 NSP2_0.25_K #4-11321
529 4633 S1_0.1_T #4-1112
529 12939 S1_0.1_S #4-1122
529 12920 S1_0.25_S #4-1132
529 12560 S1_0.5_S #4-1142
529 9217 S1_0.1_B #4-1152
529 22493 S1_0.25_B #4-1162
529 24604 S1_0.5_B #4-1172
529 7747 S-RBD_0.5_Y #4-1182
529 155 S-RBD_0.25_S #4-1192
529 6083 S-RBD_0.5_S #4-11102
529 268 S2-1_0.05_T #4-11112
529 259 S2-2_0.1_T #4-11122
529 19384 N-protein_0.1_T #4-11132
529 20421 N-protein_0.05_K #4-11142
529 24355 N-protein_0.1_K #4-11152
529 28805 N-protein_0.2_K #4-11162
529 474 buffer #4-11172
529 16177 N-protein_0.1_W #4-11182
529 18666 N-protein_0.25_W #4-11192
529 38047 N-protein_0.5_W #4-11202
529 2485 N-protein_0.1_S #4-11212
